Common Name,Order,Family,Species Name,States
White-tailed Deer,Artiodactyla,Cervidae,Odocoileus virginianus,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
White-tailed Jackrabbit,Lagomorpha,Leporidae,Lepus townsendii,"California, Colorado, Iowa, Idaho, Illinois, Kansas, Minnesota, Missouri, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wisconsin, Wyoming"
White-tailed Prairie Dog,Rodentia_other,Sciuridae,Cynomys leucurus,"Colorado, Montana, Utah, Wyoming"
White-throated Woodrat,Rodentia,Cricetidae,Neotoma albigula,
Wolverine,Carnivora,Mustelidae,Gulo gulo,"Alaska, California, Idaho, Montana, Nevada, Oregon, Utah, Washington"
Woodchuck,Rodentia_other,Sciuridae,Marmota monax,"Alaska, Alabama, Arkansas, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Washington, Wisconsin, West Virginia"
Woodland Jumping Mouse,Rodentia,Dipodidae,Napaeozapus insignis,"Connecticut, Georgia, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, North Carolina, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia, Vermont, Wisconsin, West Virginia"
Woodland Vole,Rodentia,Cricetidae,Microtus pinetorum,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia"
Wyoming Ground Squirrel,Rodentia_other,Sciuridae,Urocitellus elegans,"Colorado, Idaho, Montana, Nevada, Oregon, Utah, Wyoming"
Wyoming Pocket Gopher,Rodentia,Geomyidae,Thomomys clusius,Wyoming
Yellow-bellied Marmot,Rodentia_other,Sciuridae,Marmota flaviventris,"Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Yellow-cheeked Chipmunk,Rodentia_other,Sciuridae,Tamias ochrogenys,California
Yellow-faced Pocket Gopher,Rodentia,Geomyidae,Cratogeomys castanops,"Colorado, Kansas, New Mexico, Oklahoma, Texas"
Yellow-nosed Cotton Rat,Rodentia,Cricetidae,Sigmodon ochrognathus,"Arizona, New Mexico, Texas"
Yellow-pine Chipmunk,Rodentia_other,Sciuridae,Tamias amoenus,"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming"
Yuma Myotis,Chiroptera,Vespertilionidae,Myotis yumanensis,"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington, Wyoming"
prairie Shrew,Eulipotyphla,Soricidae,Sorex haydeni,"Colorado, Iowa, Illinois, Kansas, Minnesota, Missouri, Montana, North Dakota, Nebraska, South Dakota, Wyoming"
