Common Name,Order,Family,Species Name,States
Common Porcupine,Rodentia,Erethizontidae,Erethizon dorsatum,"Alaska, Arizona, California, Colorado, Connecticut, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maine, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, South Dakota, Tennessee, Texas, Utah, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Cotton Deermouse,Rodentia,Cricetidae,Peromyscus gossypinus,"Alabama, Arkansas, Florida, Georgia, Illinois, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia"
Coues' Oryzomys,Rodentia,Cricetidae,Oryzomys couesi,Texas
Crawford's Grey Shrew,Eulipotyphla,Soricidae,Notiosorex crawfordi,"Arkansas, Arizona, California, Colorado, New Mexico, Nevada, Oklahoma, Texas, Utah"
Creeping Vole,Rodentia,Cricetidae,Microtus oregoni,"California, Oregon, Washington"
Cuvier's Beaked Whale,Artiodactyla,Ziphiidae,Ziphius cavirostris,"Alabama, Alaska, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Dall's Porpoise,Artiodactyla,Phocoenidae,Phocoenoides dalli,"Alaska, California, Oregon, Washington"
Dall's Sheep,Artiodactyla,Bovidae,Ovis dalli,Alaska
Dark Kangaroo Mouse,Rodentia,Heteromyidae,Microdipodops megacephalus,"California, Idaho, Nevada, Oregon, Utah"
Dark-nosed Small-footed Myotis,Chiroptera,Vespertilionidae,Myotis melanorhinus,"Arizona, California, Colorado, Idaho, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington"
Desert Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys deserti,"Arizona, California, Nevada, Utah"
Desert Pocket Gopher,Rodentia,Geomyidae,Geomys arenarius,"New Mexico, Texas"
Desert Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus penicillatus,"Arizona, California, New Mexico, Nevada, Utah"
Desert Rabbit,Lagomorpha,Leporidae,Sylvilagus audubonii,"Arizona, California, Colorado, Kansas, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, South Dakota, Texas, Utah, Wyoming"
Desert Woodrat,Rodentia,Cricetidae,Neotoma lepida,"Arizona, California, Colorado, Idaho, Nevada, Oregon, Utah"
Domestic Cat,Carnivora,Felidae,Felis catus,"Alabama, Arkansas, Arizona, Colorado, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia, Wyoming"
Domestic Dog,Carnivora,Canidae,Canis lupus familiaris,"Alabama, Arkansas, Arizona, Colorado, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia, Wyoming"
Douglas' Squirrel,Rodentia_other,Sciuridae,Tamiasciurus douglasii,"California, Nevada, Oregon, Washington"
Dulzura Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys simulans,California
Dusky Shrew,Eulipotyphla,Soricidae,Sorex monticolus,"Alaska, Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Utah, Washington, Wyoming"
Dusky-footed Woodrat,Rodentia,Cricetidae,Neotoma fuscipes,"California, Oregon"
Dwarf Shrew,Eulipotyphla,Soricidae,Sorex nanus,"Arizona, Colorado, Montana, Nebraska, New Mexico, South Dakota, Utah, Wyoming"
Dwarf Sperm Whale,Artiodactyla,Kogiidae,Kogia sima,"Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, Texas, Virginia, Washington"
Eastern Chipmunk,Rodentia_other,Sciuridae,Tamias striatus,"Alabama, Arkansas, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia"
Eastern Cottontail,Lagomorpha,Leporidae,Sylvilagus floridanus,"Alabama, Arkansas, Arizona, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Eastern Coyote,Carnivora,Canidae,Canis latrans,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Eastern Fox Squirrel,Rodentia_other,Sciuridae,Sciurus niger,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New York, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Eastern Gray Squirrel,Rodentia_other,Sciuridae,Sciurus carolinensis,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia"
Eastern Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys humulis,"Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, Missouri, North Carolina, Ohio, Oklahoma, South Carolina, Tennessee, Texas, Virginia, West Virginia"
Eastern Heather Vole,Rodentia,Cricetidae,Phenacomys ungava,Minnesota
Eastern Hog-nosed Skunk,Carnivora,Mephitidae,Conepatus leuconotus,"Arizona, Colorado, New Mexico, Texas"
Eastern Mole,Eulipotyphla,Talpidae,Scalopus aquaticus,"Alabama, Arkansas, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Michigan, Minnesota, Mississippi, Missouri, North Carolina, Nebraska, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Eastern Pipistrelle,Chiroptera,Vespertilionidae,Perimyotis subflavus,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia"
Eastern Red Bat,Chiroptera,Vespertilionidae,Lasiurus borealis,"Alabama, Arkansas, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Eastern Small-footed Myotis,Chiroptera,Vespertilionidae,Myotis leibii,"Alabama, Connecticut, Delaware, Georgia, Illinois, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Mississippi, Missouri, North Carolina, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia, Vermont, West Virginia"
Eastern Spotted Skunk,Carnivora,Mephitidae,Spilogale putorius,"Alabama, Arkansas, Colorado, Florida, Georgia, Iowa, Kansas, Kentucky, Louisiana, Maryland, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Eastern Woodrat,Rodentia,Cricetidae,Neotoma floridana,"Alabama, Colorado, Florida, Georgia, Illinois, Kansas, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Nebraska, New York, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wyoming"
Elk,Artiodactyla,Cervidae,Cervus elaphus,"Arkansas, Arizona, California, Colorado, Idaho, Kansas, Michigan, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington, Wyoming"
Elliot's Short-tailed Shrew,Eulipotyphla,Soricidae,Blarina hylophaga,"Arkansas, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Nebraska, Oklahoma, Texas"
Ermine or Short-tailed Weasel,Carnivora,Mustelidae,Mustela erminea,"Alaska, California, Colorado, Connecticut, Delaware, Iowa, Idaho, Illinois, Indiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Dakota, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oregon, Pennsylvania, Rhode Island, South Dakota, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
European Hare,Lagomorpha,Leporidae,Lepus europaeus,"Connecticut, New York"
Evening Bat,Chiroptera,Vespertilionidae,Nycticeius humeralis,"Alabama, Arkansas, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maryland, Michigan, Mississippi, Missouri, North Carolina, Nebraska, New Jersey, Ohio, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, West Virginia"
Everglades Short-tailed Shrew,Eulipotyphla,Soricidae,Blarina penninsulae,Florida
False Killer Whale,Artiodactyla,Delphinidae,Pseudorca crassidens,"Alabama, California, Delaware, Florida, Georgia, Hawaii, Louisiana, Mississippi, North Carolina, Oregon, South Carolina, Texas, Washington"
Fin Whale,Artiodactyla,Balaenopteridae,Balaenoptera physalus,"Alabama, Alaska, California, Connecticut, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Fisher,Carnivora,Mustelidae,Martes pennanti,"Alaska, California, Connecticut, Idaho, Massachusetts, Maine, Michigan, Minnesota, Montana, New Hampshire, New York, Oregon, Pennsylvania, Vermont, Washington, Wisconsin"
Florida Deermouse,Rodentia,Cricetidae,Podomys floridanus,Florida
Fog Shrew,Eulipotyphla,Soricidae,Sorex sonomae,"California, Oregon"
Franklin's Ground Squirrel,Rodentia_other,Sciuridae,Poliocitellus franklinii,"Iowa, Illinois, Indiana, Kansas, Michigan, Minnesota, Missouri, North Dakota, Nebraska, South Dakota, Wisconsin"
Fringed Myotis,Chiroptera,Vespertilionidae,Myotis thysanodes,"Arizona, California, Colorado, Idaho, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Fulvous Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys fulvescens,"Arizona, Kansas, Louisiana, Mississippi, New Mexico, Oklahoma, Texas"
Gervais's Beaked Whale,Artiodactyla,Ziphiidae,Mesoplodon europaeus,"Alabama, Delaware, Florida, Georgia, Louisiana, Maryland, Mississippi, New Jersey, New York, North Carolina, South Carolina, Texas, Virginia"
Giant Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys ingens,California
Ginkgo-toothed Beaked Whale,Artiodactyla,Ziphiidae,Mesoplodon ginkgodens,California
Glacier Bay Water Shrew,Eulipotyphla,Soricidae,Sorex alaskanus,Alaska
Golden Mouse,Rodentia,Cricetidae,Ochrotomys nuttalli,"Alabama, Arkansas, Florida, Georgia, Illinois, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Ohio, Oklahoma, South Carolina, Tennessee, Texas, Virginia, West Virginia"
Golden-mantled Ground Squirrel,Rodentia_other,Sciuridae,Callospermophilus lateralis,"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Utah, Washington, Wyoming"
Gray Fox,Carnivora,Canidae,Urocyon cinereoargenteus,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
Gray Myotis,Chiroptera,Vespertilionidae,Myotis grisescens,"Alabama, Arkansas, Florida, Georgia, Iowa, Illinois, Indiana, Kentucky, Mississippi, Missouri, North Carolina, Ohio, South Carolina, Tennessee, Virginia, West Virginia"
Gray Seal,Carnivora,Phocidae,Halichoerus grypus,Massachusetts
Gray Whale,Artiodactyla,Eschrichtiidae,Eschrichtius robustus,"Alaska, California, Oregon, Washington"
Gray-collared Chipmunk,Rodentia_other,Sciuridae,Tamias cinereicollis,"Arizona, New Mexico"
Gray-footed Chipmunk,Rodentia_other,Sciuridae,Tamias canipes,"New Mexico, Texas"
Gray-tailed Vole,Rodentia,Cricetidae,Microtus canicaudus,"Oregon, Washington"
Great Basin Pocket Mouse,Rodentia,Heteromyidae,Perognathus parvus,"Arizona, California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming"
Greater Bonneted Bat,Chiroptera,Molossidae,Eumops perotis,"Arizona, California, New Mexico, Nevada, Texas"
Grey Wolf,Carnivora,Canidae,Canis lupus,"Alaska, Idaho, Michigan, Minnesota, Montana, Washington, Wisconsin"
Guadalupe Fur Seal,Carnivora,Otariidae,Arctocephalus townsendi,California
Gulf Coast Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys compactus,Texas
Gunnison's Prairie Dog,Rodentia_other,Sciuridae,Cynomys gunnisoni,"Arizona, Colorado, New Mexico, Utah"
Hairy-legged Vampire Bat,Chiroptera,Phyllostomidae,Diphylla ecaudata,Texas
Hairy-tailed Mole,Eulipotyphla,Talpidae,Parascalops breweri,"Connecticut, Delaware, Georgia, Kentucky, Massachusetts, Maryland, Maine, North Carolina, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia, Vermont, West Virginia"
Harbor Porpoise,Artiodactyla,Phocoenidae,Phocoena phocoena,"Alaska, California, Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, Virginia, Washington"
Harbor Seal,Carnivora,Phocidae,Phoca vitulina,"Alaska, California, Connecticut, Delaware, Massachusetts, Maine, New Hampshire, New Jersey, New York, Oregon, Rhode Island, Washington"
Harris' Antelope Ground Squirrel,Rodentia_other,Sciuridae,Ammospermophilus harrisii,"Arizona, California, New Mexico, Nevada"
Hawaiian Monk Seal,Carnivora,Phocidae,Monachus schauinslandi,Hawaii
Hawaiian Wild Cattle,Artiodactyla,Bovidae,Bos taurus,Hawaii
Heermann's Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys heermanni,California
Hispid Cotton Rat,Rodentia,Cricetidae,Sigmodon hispidus,"Alabama, Arkansas, Arizona, California, Colorado, Florida, Georgia, Iowa, Kansas, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Nebraska, New Mexico, Oklahoma, South Carolina, Tennessee, Texas, Virginia"
Hispid Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus hispidus,"Arizona, Colorado, Kansas, Louisiana, Montana, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Wyoming"
Hoary Bat,Chiroptera,Vespertilionidae,Lasiurus cinereus,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Hoary Marmot,Rodentia_other,Sciuridae,Marmota caligata,"Alaska, Idaho, Montana, Washington"
Hooded Skunk,Carnivora,Mephitidae,Mephitis macroura,"Arizona, New Mexico, Texas"
Hopi Chipmunk,Rodentia_other,Sciuridae,Tamias rufus,"Arizona, Colorado, New Mexico, Utah"
House Mouse,Rodentia,Muridae,Mus musculus,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Hubb's Beaked Whale,Artiodactyla,Ziphiidae,Mesoplodon carlhubbsi,"California, Oregon, Washington"
Humpback Whale,Artiodactyla,Balaenopteridae,Megaptera novaeangliae,"Alaska, California, Connecticut, Florida, Hawaii, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, Texas, Virginia, Washington"
Idaho Ground Squirrel,Rodentia_other,Sciuridae,Urocitellus brunneus,Idaho
Idaho Pocket Gopher,Rodentia,Geomyidae,Thomomys idahoensis,"Idaho, Montana, Wyoming"
Indian Mongoose,,,Herpestes javanicus,Hawaii
Indiana Myotis,Chiroptera,Vespertilionidae,Myotis sodalis,"Alabama, Arkansas, Connecticut, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Mississippi, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, West Virginia"
Insular Vole,Rodentia,Cricetidae,Microtus abbreviatus,Alaska
Inyo Shrew,Eulipotyphla,Soricidae,Sorex tenellus,"California, Nevada"
Jaguar,Carnivora,Felidae,Panthera onca,"Arizona, New Mexico"
Jaguarundi,Carnivora,Felidae,Puma yagouaroundi,"Arizona, Texas"
Jamaican Fruit-eating Bat,Chiroptera,Phyllostomidae,Artibeus jamaicensis,Florida
Keen's Myotis,Chiroptera,Vespertilionidae,Myotis keenii,"Alaska, Washington"
Killer Whale,Artiodactyla,Delphinidae,Orcinus orca,"Alabama, Alaska, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Kit Fox,Carnivora,Canidae,Vulpes macrotis,"Arizona, California, Idaho, New Mexico, Nevada, Oregon, Texas, Utah"
Knox Jones's Pocket Gopher,Rodentia,Geomyidae,Geomys knoxjonesi,"New Mexico, Texas"
Least Chipmunk,Rodentia_other,Sciuridae,Tamias minimus,"Arizona, California, Colorado, Idaho, Michigan, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, Utah, Washington, Wisconsin, Wyoming"
Least Weasel,Carnivora,Mustelidae,Mustela nivalis,"Alaska, Colorado, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Maryland, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, Ohio, Pennsylvania, South Carolina, South Dakota, Tennessee, Virginia, Wisconsin, West Virginia"
Least shrew,Eulipotyphla,Soricidae,Cryptotis parva,"Alabama, Arkansas, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Michigan, Minnesota, Mississippi, Missouri, North Carolina, Nebraska, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Lesser Long-nosed Bat,Chiroptera,Phyllostomidae,Leptonycteris yerbabuenae,"Arizona, New Mexico"
Little Brown Myotis,Chiroptera,Vespertilionidae,Myotis lucifugus,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Little Pocket Mouse,Rodentia,Heteromyidae,Perognathus longimembris,"Arizona, California, Idaho, Nevada, Oregon, Utah"
Lodgepole Chipmunk,Rodentia,Sciuridae,Tamias speciosus,"California, Nevada"
Long-beaked Common Dolphin,Artiodactyla,Delphinidae,Delphinus capensis,California
Long-eared Chipmunk,Rodentia_other,Sciuridae,Tamias quadrimaculatus,"California, Nevada"
Long-eared Myotis,Chiroptera,Vespertilionidae,Myotis evotis,"Arizona, California, Colorado, Idaho, Montana, North Dakota, New Mexico, Nevada, Oregon, Utah, Washington, Wyoming"
Long-finned Pilot Whale,Artiodactyla,Delphinidae,Globicephala melas,"Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Rhode Island, Virginia"
Long-legged Myotis,Chiroptera,Vespertilionidae,Myotis volans,"Alaska, Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Long-tailed Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus formosus,"Arizona, California, Nevada, Utah"
Long-tailed Shrew,Eulipotyphla,Soricidae,Sorex dispar,"Connecticut, Kentucky, Massachusetts, Maryland, Maine, North Carolina, New Hampshire, New Jersey, New York, Pennsylvania, Tennessee, Virginia, Vermont, West Virginia"
Long-tailed Vole,Rodentia,Cricetidae,Microtus longicaudus,"Alaska, Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Long-tailed Weasel,Carnivora,Mustelidae,Mustela frenata,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Marsh Rabbit,Lagomorpha,Leporidae,Sylvilagus palustris,"Alabama, Florida, Georgia, North Carolina, South Carolina, Virginia"
Marsh Rice Rat,Rodentia,Cricetidae,Oryzomys palustris,"Alabama, Arkansas, Delaware, Florida, Georgia, Illinois, Kansas, Kentucky, Louisiana, Maryland, Mississippi, Missouri, North Carolina, New Jersey, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Virginia"
Marsh Shrew,Eulipotyphla,Soricidae,Sorex bendirii,"California, Oregon, Washington"
Masked Shrew,Eulipotyphla,Soricidae,Sorex cinereus,"Alaska, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Meadow Jumping Mouse,Rodentia,Dipodidae,Zapus hudsonius,"Alaska, Alabama, Arkansas, Arizona, Colorado, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia, Wyoming"
Meadow Vole,Rodentia,Cricetidae,Microtus pennsylvanicus,"Alaska, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Melon-headed Whale,Artiodactyla,Delphinidae,Peponocephala electra,Hawaii
Merriam's Chipmunk,Rodentia_other,Sciuridae,Tamias merriami,California
Merriam's Deermouse,Rodentia,Cricetidae,Peromyscus merriami,Arizona
Merriam's Ground Squirrel,Rodentia,Sciuridae,Urocitellus canus,"California, Idaho, Nevada, Oregon, Utah"
Merriam's Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys merriami,"Arizona, California, New Mexico, Nevada, Texas"
Merriam's Pocket Mouse,Rodentia,Heteromyidae,Perognathus merriami,"New Mexico, Oklahoma, Texas"
Merriam's Shrew,Eulipotyphla,Soricidae,Sorex merriami,"Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Mexican Ground Squirrel,Rodentia_other,Sciuridae,Ictidomys mexicanus,"New Mexico, Texas"
Mexican Long-nosed Bat,Chiroptera,Phyllostomidae,Leptonycteris nivalis,"Arizona, New Mexico, Texas"
